
1550820848.197:  AA AA 04 80 02 03 C6 B4
1550820848.197:  AA AA 04 80 02 04 0C 6D
1550820848.197:  AA AA 04 80 02 04 06 73
1550820848.197:  AA AA 04 80 02 03 EB 8F
1550820848.197:  AA AA 04 80 02 04 14 65
1550820848.197:  AA AA 04 80 02 04 5A 1F
1550820848.197:  AA AA 04 80 02 04 8C ED
1550820848.197:  AA AA 04 80 02 04 9C DD
1550820848.197:  AA AA 04 80 02 04 B4 C5
1550820848.197:  AA AA 04 80 02 04 C0 B9
1550820848.197:  AA AA 04 80 02 04 A5 D4
1550820848.197:  AA AA 04 80 02 04 97 E2
1550820848.197:  AA AA 04 80 02 04 81 F8
1550820848.197:  AA AA 04 80 02 04 50 29
1550820848.197:  AA AA 04 80 02 04 18 61
1550820848.197:  AA AA 04 80 02 04 04 75
1550820848.197:  AA AA 04 80 02 04 13 66
1550820848.197:  AA AA 04 80 02 04 1A 5F
1550820848.197:  AA AA 04 80 02 04 07 72
1550820848.197:  AA AA 04 80 02 03 FA 80
1550820848.197:  AA AA 04 80 02 04 11 68
1550820848.197:  AA AA 04 80 02 04 12 67
1550820848.197:  AA AA 04 80 02 03 D5 A5
1550820848.197:  AA AA 04 80 02 03 73 07
1550820848.197:  AA AA 04 80 02 03 09 71
1550820848.197:  AA AA 04 80 02 02 B6 C5
1550820848.197:  AA AA 04 80 02 02 72 09
1550820848.197:  AA AA 04 80 02 02 2C 4F
1550820848.197:  AA AA 04 80 02 01 C1 BB
1550820848.197:  AA AA 04 80 02 01 56 26
1550820848.197:  AA AA 04 80 02 01 23 59
1550820848.197:  AA AA 04 80 02 01 11 6B
1550820848.197:  AA AA 04 80 02 00 F0 8D
1550820848.197:  AA AA 04 80 02 00 DC A1
1550820848.197:  AA AA 04 80 02 00 D9 A4
1550820848.197:  AA AA 04 80 02 00 DC A1
1550820848.197:  AA AA 04 80 02 00 E8 95
1550820848.197:  AA AA 04 80 02 00 FB 82
1550820848.197:  AA AA 04 80 02 01 36 46
1550820848.197:  AA AA 04 80 02 01 64 18
1550820848.197:  AA AA 04 80 02 01 56 26
1550820848.197:  AA AA 04 80 02 01 3A 42
1550820848.197:  AA AA 04 80 02 01 1C 60
1550820848.197:  AA AA 04 80 02 01 2A 52
1550820848.197:  AA AA 04 80 02 01 3C 40
1550820848.197:  AA AA 04 80 02 01 3D 3F
1550820848.197:  AA AA 04 80 02 01 48 34
1550820848.197:  AA AA 04 80 02 01 45 37
1550820848.197:  AA AA 04 80 02 01 27 55
1550820848.197:  AA AA 04 80 02 01 18 64
1550820848.197:  AA AA 04 80 02 01 14 68
1550820848.197:  AA AA 04 80 02 01 2D 4F
1550820848.197:  AA AA 04 80 02 01 6A 12
1550820848.197:  AA AA 04 80 02 01 B1 CB
1550820848.197:  AA AA 04 80 02 01 D3 A9
1550820848.197:  AA AA 04 80 02 01 CC B0
1550820848.197:  AA AA 04 80 02 01 D4 A8
1550820848.197:  AA AA 04 80 02 01 E2 9A
1550820848.197:  AA AA 04 80 02 01 D4 A8
1550820848.197:  AA AA 04 80 02 01 A8 D4
1550820848.197:  AA AA 04 80 02 01 62 1A
1550820848.197:  AA AA 04 80 02 01 12 6A
1550820848.197:  AA AA 04 80 02 00 E8 95
1550820848.197:  AA AA 04 80 02 00 D0 AD
1550820848.197:  AA AA 04 80 02 00 B9 C4
1550820848.197:  AA AA 04 80 02 00 B5 C8
1550820848.212:  AA AA 04 80 02 00 B1 CC
1550820848.212:  AA AA 04 80 02 00 9D E0
1550820848.212:  AA AA 04 80 02 00 9B E2
1550820848.212:  AA AA 04 80 02 00 A9 D4
1550820848.212:  AA AA 04 80 02 00 B6 C7
1550820848.212:  AA AA 04 80 02 00 D3 AA
1550820848.212:  AA AA 04 80 02 00 D8 A5
1550820848.212:  AA AA 04 80 02 00 D2 AB
1550820848.212:  AA AA 04 80 02 00 D7 A6
1550820848.212:  AA AA 04 80 02 00 C8 B5
1550820848.212:  AA AA 04 80 02 00 A5 D8
